ExperimentName	Subject	Session	SessionDate	SessionTime	LineNumber	RunningSample	ACC	CRESP	RESP	RT	CurrentObject	ComponentName	CurrentFixationDuration	CursorX	CursorY	RTTime	RTTimeMicro	RTTimeReceived	RTTimeReceivedMicro	SystemTimestamp	HardwareTimestamp	HostTimestamp	SEQD	SEQH	GazePointValidityLeftEye	GazePointPositionDisplayXLeftEye	GazePointPositionDisplayYLeftEye	GazePointValidityRightEye	GazePointPositionDisplayXRightEye	GazePointPositionDisplayYRightEye	GazePointPositionUserXLeftEye	GazePointPositionUserYLeftEye	GazePointPositionUserZLeftEye	GazePointPositionUserXRightEye	GazePointPositionUserYRightEye	GazePointPositionUserZRightEye	GazeOriginValidityLeftEye	GazeOriginPositionUserXLeftEye	GazeOriginPositionUserYLeftEye	GazeOriginPositionUserZLeftEye	GazeOriginValidityRightEye	GazeOriginPositionUserXRightEye	GazeOriginPositionUserYRightEye	GazeOriginPositionUserZRightEye	GazeOriginPositionTrackBoxXLeftEye	GazeOriginPositionTrackBoxYLeftEye	GazeOriginPositionTrackBoxZLeftEye	GazeOriginPositionTrackBoxXRightEye	GazeOriginPositionTrackBoxYRightEye	GazeOriginPositionTrackBoxZRightEye	PupilValidityLeftEye	PupilDiameterLeftEye	PupilValidityRightEye	PupilDiameterRightEye	Image1	Picture	Tekst
PosterExperimentFinal	37	1	02-16-2023	15:34:55	1	1	0		1	8143	TV		0	1107	632	121317	121317669	121334	121334291	21354463310	21370860838	21354479932	281	14123	1	0.57879	0.52574	1	0.57441	0.52914	40.06837	163.01157	48.68956	37.78173	161.96741	48.30949	1	-37.37377	30.09100	557.03381	1	25.68617	29.59590	558.89832	0.58911	0.44371	0.25306	0.43524	0.44475	0.25561	1	2.54813	1	2.67505	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	2	1	0		1	8143	TV		4	1134	635	121321	121321668	121337	121337887	21354467310	21370864838	21354483529	282	14124	1	0.59111	0.52971	1	0.59047	0.52927	46.50447	161.79109	48.24532	46.17060	161.92755	48.29500	1	-37.29929	30.08772	557.07654	1	25.74213	29.56581	558.92004	0.58892	0.44373	0.25314	0.43511	0.44482	0.25566	1	2.53745	1	2.66376	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	3	1	0		1	8143	TV		8	1168	639	121325	121325666	121342	121342225	21354471310	21370868838	21354487869	283	14125	1	0.60828	0.52928	1	0.60908	0.53635	55.47055	161.92331	48.29349	55.89252	159.75629	47.50475	1	-37.21857	30.06740	556.99054	1	25.81730	29.54784	558.99268	0.58874	0.44376	0.25294	0.43493	0.44488	0.25582	1	2.55266	1	2.69185	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	4	1	0		1	8143	TV		12	1201	642	121329	121329669	121345	121345871	21354475310	21370872838	21354491512	284	14126	1	0.62750	0.53227	1	0.62358	0.53906	65.51070	161.00766	47.96019	63.46531	158.92485	47.20212	1	-37.13529	30.06440	557.12927	1	25.88617	29.52782	558.94464	0.58851	0.44379	0.25323	0.43476	0.44491	0.25572	1	2.57817	1	2.72279	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	5	1	0		1	8143	TV		16	1226	630	121333	121333669	121349	121349950	21354479310	21370876838	21354495591	285	14127	1	0.64098	0.51874	1	0.63705	0.53197	72.55534	165.15637	49.47021	70.50107	161.09879	47.99336	1	-37.05714	30.04436	556.91345	1	25.93147	29.52660	559.01935	0.58836	0.44380	0.25275	0.43466	0.44493	0.25588	1	2.54828	1	2.71751	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	6	1	0		1	8143	TV		20	1228	636	121337	121337669	121353	121353769	21354483310	21370880838	21354499410	286	14128	1	0.63885	0.53780	1	0.64096	0.52235	71.43828	159.31023	47.34236	72.54025	164.04942	49.06737	1	-37.01667	30.04550	557.01221	1	25.97127	29.52899	559.10303	0.58824	0.44381	0.25296	0.43457	0.44494	0.25607	1	2.59326	1	2.68306	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	7	1	0		1	8143	TV		24	1237	632	121341	121341670	121359	121359179	21354487310	21370884838	21354504819	287	14129	1	0.64587	0.53272	1	0.64302	0.52073	75.10873	160.86758	47.90924	73.61845	164.54747	49.24861	1	-36.98996	30.04642	557.07605	1	25.98785	29.52524	559.06714	0.58816	0.44382	0.25309	0.43453	0.44494	0.25599	1	2.57532	1	2.70288	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	8	1	0		1	8143	TV		28	1237	627	121345	121345670	121363	121363231	21354491311	21370888839	21354508872	288	14130	1	0.64815	0.52543	1	0.64086	0.52047	76.29739	163.10376	48.72311	72.49051	164.62587	49.27713	1	-36.98674	30.04771	557.06769	1	25.98842	29.53227	559.10168	0.58816	0.44382	0.25307	0.43453	0.44493	0.25607	1	2.57886	1	2.69269	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	9	1	0		1	8143	TV		32	1234	633	121349	121349671	121367	121367198	21354495311	21370892839	21354512838	289	14131	1	0.64539	0.52817	1	0.64015	0.52821	74.85658	162.26573	48.41807	72.11732	162.25255	48.41333	1	-36.99631	30.05193	557.09265	1	25.97633	29.53109	559.05054	0.58817	0.44381	0.25313	0.43455	0.44492	0.25596	1	2.58792	1	2.69855	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	10	1	0		1	8143	TV		36	1240	635	121353	121353669	121371	121371220	21354499310	21370896839	21354516861	290	14132	1	0.64565	0.53517	1	0.64624	0.52404	74.99041	160.11559	47.63554	75.30282	163.53210	48.87904	1	-37.00695	30.04865	557.03955	1	25.97084	29.53478	559.06836	0.58821	0.44381	0.25301	0.43457	0.44492	0.25599	1	2.61679	1	2.72662	FinalWorkshopInformative.png		
